DXG ;Divers extrême gauche;Nouveau Parti Anticapitaliste, Lutte Ouvrière, Parti Ouvrier Indépendant, autres partis ou candidats d’extrême gauche sans affiliation partisane
RDG ;Parti radical de gauche;Parti Radical de Gauche
NUP ;Nouvelle union populaire écologique et sociale;NUPES : Génération.s, EELV, Union Populaire / LFI, PCF, PS
DVG ;Divers gauche;Autres candidats de sensibilité de gauche, y compris se déclarant sans étiquette 
ECO ;Ecologistes;Union des démocrates et des écologistes, Les Nouveaux démocrates, Alliance Ecologiste Indépendante, Rassemblement citoyen-CAP 21, Génération écologie, parti animaliste, autres partis ou candidats écologistes
DIV ;Divers;Autres candidats inclassables, y compris se déclarant sans étiquette
REG ;Régionaliste;Régionalistes, Régions et Peuples solidaires, indépendantistes et autonomistes
ENS ;Ensemble ! (Majorité présidentielle);Renaissance, Modem, Horizons, En commun, Agir, Territoire de Progrès, Parti Radical, Fédération progressiste et autres formations appartenant à la confédération
DVC ;Divers centre;Autres partis ou candidats centristes, y compris se déclarant sans étiquette
UDI ;Union des Démocrates et des Indépendants;Union des Démocrates et Indépendants
LR ;Les Républicains;Les Républicains
DVD ;Divers droite;Les centristes-Nouveau centre, VIA – La voix du peuple, autres partis ou candidats de sensibilité de droite, y compris se déclarant sans étiquette
DSV ;Droite souverainiste;Debout la France, Les Patriotes, autres partis ou candidats de sensibilité souverainiste
REC ;Reconquête !;Reconquête !
RN ;Rassemblement National;Rassemblement National
DXD ;Divers extrême droite;Comités Jeanne, Les identitaires, Ligue du Sud, Alsace d’abord, Parti de la France, Souveraineté, Identité et Libertés (SIEL), Civitas, autres partis ou candidats d’extrême droite sans affiliation partisane
