"code_nuance";"label_nuance";"description_nuance";"voix";"sieges";"second_tour";"second_tour_majoritaire";"second_tour_minoritaire"
ENS;Ensemble ! (Majorité présidentielle);Renaissance, Modem, Horizons, En commun, Agir, Territoire de Progrès, Parti Radical, Fédération progressiste et autres formations appartenant à la confédération;5857575;1;415;200;215
NUP;Nouvelle union populaire écologique et sociale;NUPES : Génération.s, EELV, Union Populaire / LFI, PCF, PS;5836239;4;373;183;190
RN;Rassemblement National;Rassemblement National;4248631;0;206;110;96
LR;Les Républicains;Les Républicains;2370839;0;70;41;29
DVG;Divers gauche;Autres candidats de sensibilité de gauche, y compris se déclarant sans étiquette ;713642;0;26;14;14
REG;Régionaliste;Régionalistes, Régions et Peuples solidaires, indépendantistes et autonomistes;291392;0;15;9;9
DVD;Divers droite;Les centristes-Nouveau centre, VIA – La voix du peuple, autres partis ou candidats de sensibilité de droite, y compris se déclarant sans étiquette;530783;0;14;9;6
DVC;Divers centre;Autres partis ou candidats centristes, y compris se déclarant sans étiquette;283613;0;9;3;7
UDI;Union des Démocrates et des Indépendants;Union des Démocrates et Indépendants;198061;0;5;1;4
DXG;Divers extrême gauche;Nouveau Parti Anticapitaliste, Lutte Ouvrière, Parti Ouvrier Indépendant, autres partis ou candidats d’extrême gauche sans affiliation partisane;266379;0;1;0;1
DIV;Divers;Autres candidats inclassables, y compris se déclarant sans étiquette;192628;0;1;1;1
DSV;Droite souverainiste;Debout la France, Les Patriotes, autres partis ou candidats de sensibilité souverainiste;249607;0;1;1;0
RDG;Parti radical de gauche;Parti Radical de Gauche;126707;0;0;0;0
ECO;Ecologistes;Union des démocrates et des écologistes, Les Nouveaux démocrates, Alliance Ecologiste Indépendante, Rassemblement citoyen-CAP 21, Génération écologie, parti animaliste, autres partis ou candidats écologistes;608171;0;0;0;0
REC;Reconquête !;Reconquête !;964878;0;0;0;0
DXD;Divers extrême droite;Comités Jeanne, Les identitaires, Ligue du Sud, Alsace d’abord, Parti de la France, Souveraineté, Identité et Libertés (SIEL), Civitas, autres partis ou candidats d’extrême droite sans affiliation partisane;6457;0;0;0;0
